Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","10.79","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","36.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","61.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","24.73","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","64.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","16.31","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","51.74","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","32.74","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","69.05","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","45.34","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","70.7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","65.83","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","32.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","52.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","12.56","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","51.02","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","52.2","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","58.58","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","30.82","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","12.45","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","35.46","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","36.98","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","28.02","Fc","Donnée calculée"
